node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
ORC1L	RAD1	990384	987003	ENSP00000360621	ENSP00000340879	0.000	0.000	0.000	0.000	0.000	0.580	0.000	0.000	0.579
NGF	PIK3R1	989928	980292	ENSP00000358525	ENSP00000274335	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
ERCC3	GTF2H3	980930	976839	ENSP00000285398	ENSP00000228955	0.000	0.000	0.000	0.000	0.000	0.846	0.900	0.000	0.983
TP53	CDK7	979979	978199	ENSP00000269305	ENSP00000256443	0.000	0.000	0.000	0.000	0.000	0.846	0.000	0.000	0.845
NBN	MSH2	979610	977012	ENSP00000265433	ENSP00000233146	0.000	0.000	0.000	0.000	0.000	0.333	0.000	0.000	0.333
PIK3CB	PIK3R2	981143	976536	ENSP00000289153	ENSP00000222254	0.000	0.000	0.000	0.000	0.000	0.871	0.900	0.000	0.986
ERCC2	CHEK1	993226	980540	ENSP00000375809	ENSP00000278916	0.000	0.000	0.000	0.000	0.000	0.231	0.000	0.000	0.230
PCNA	DMC1	991950	976139	ENSP00000368438	ENSP00000216024	0.000	0.000	0.000	0.000	0.000	0.192	0.000	0.000	0.191
GTF2H3	ERCC1	976839	975751	ENSP00000228955	ENSP00000013807	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
RFC4	RPA3	981740	976606	ENSP00000296273	ENSP00000223129	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
CHEK2	TOPBP1	992579	978617	ENSP00000372023	ENSP00000260810	0.000	0.000	0.000	0.000	0.000	0.292	0.000	0.000	0.291
RPA2	BID	990895	984404	ENSP00000363021	ENSP00000318822	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
IKBKG	CASP8	989953	988504	ENSP00000358622	ENSP00000351273	0.000	0.000	0.000	0.000	0.000	0.620	0.900	0.000	0.959
NTRK1	PIK3R1	988539	980292	ENSP00000351486	ENSP00000274335	0.000	0.000	0.000	0.000	0.000	0.846	0.800	0.000	0.967
PIK3CA	PIK3R2	979288	976536	ENSP00000263967	ENSP00000222254	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.000	0.999
GTF2H2	GTF2H3	980301	976839	ENSP00000274400	ENSP00000228955	0.000	0.000	0.000	0.000	0.000	0.621	0.900	0.000	0.959
ERCC4	MLH1	983532	976973	ENSP00000310520	ENSP00000231790	0.000	0.000	0.000	0.000	0.000	0.387	0.000	0.000	0.386
SMG7	ATM	986988	980514	ENSP00000340766	ENSP00000278616	0.000	0.000	0.000	0.000	0.000	0.357	0.000	0.000	0.357
TNFSF10	TNFRSF10A	977287	976441	ENSP00000241261	ENSP00000221132	0.000	0.000	0.000	0.000	0.000	0.989	0.900	0.000	0.998
RAD23B	XPC	988422	980908	ENSP00000350708	ENSP00000285021	0.000	0.000	0.000	0.000	0.000	0.989	0.900	0.000	0.998
RPA1	MSH2	978067	977012	ENSP00000254719	ENSP00000233146	0.000	0.000	0.000	0.000	0.000	0.647	0.000	0.000	0.647
ORC1L	CHEK1	990384	980540	ENSP00000360621	ENSP00000278916	0.000	0.000	0.000	0.000	0.000	0.640	0.000	0.000	0.639
MUS81	OGG1	983204	983033	ENSP00000307853	ENSP00000306561	0.000	0.000	0.000	0.000	0.000	0.160	0.000	0.000	0.160
CHUK	IRAK4	990127	988160	ENSP00000359424	ENSP00000349096	0.000	0.000	0.000	0.625	0.000	0.000	0.900	0.000	0.899
APAF1	CYCS	988791	983193	ENSP00000353059	ENSP00000307786	0.000	0.000	0.000	0.000	0.000	0.937	0.000	0.000	0.937
BAD	PPP3R1	983354	977067	ENSP00000309103	ENSP00000234310	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
PRKDC	TP53	983877	979979	ENSP00000313420	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.971	0.900	0.000	0.996
RAD52	MSH6	988506	977074	ENSP00000351284	ENSP00000234420	0.000	0.000	0.000	0.000	0.000	0.577	0.000	0.000	0.577
GTF2H2	CDK7	980301	978199	ENSP00000274400	ENSP00000256443	0.000	0.000	0.000	0.000	0.000	0.939	0.900	0.000	0.993
POLE	MSH2	984840	977012	ENSP00000322570	ENSP00000233146	0.000	0.000	0.000	0.000	0.000	0.740	0.000	0.000	0.740
PCNA	RFC1	991950	978706	ENSP00000368438	ENSP00000261424	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.000	0.999
RAD54B	RPA1	986466	978067	ENSP00000336606	ENSP00000254719	0.000	0.000	0.000	0.000	0.000	0.200	0.000	0.000	0.200
XRCC6	TP53	988652	979979	ENSP00000352257	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.621	0.900	0.000	0.959
ORC1L	DMC1	990384	976139	ENSP00000360621	ENSP00000216024	0.000	0.000	0.000	0.000	0.000	0.190	0.000	0.000	0.190
CASP9	PIK3R2	985709	976536	ENSP00000330237	ENSP00000222254	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
CHUK	NFKBIA	990127	976240	ENSP00000359424	ENSP00000216797	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.000	0.999
EXO1	RFC1	983715	978706	ENSP00000311873	ENSP00000261424	0.000	0.000	0.000	0.000	0.000	0.227	0.000	0.000	0.227
CHUK	IRAK1	990127	990032	ENSP00000359424	ENSP00000358997	0.000	0.000	0.000	0.493	0.000	0.846	0.900	0.000	0.983
MYD88	IRAK1	993574	990032	ENSP00000379625	ENSP00000358997	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.000	0.999
BCL2L1	PIK3R1	982553	980292	ENSP00000302564	ENSP00000274335	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
IRAK1	FADD	990032	982467	ENSP00000358997	ENSP00000301838	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
TNFRSF10D	CYCS	983501	983193	ENSP00000310263	ENSP00000307786	0.000	0.000	0.000	0.000	0.000	0.168	0.000	0.000	0.168
CASP8	TNFRSF10B	988504	980417	ENSP00000351273	ENSP00000276431	0.000	0.000	0.000	0.000	0.000	0.997	0.900	0.000	0.999
SMG7	XRCC5	986988	985622	ENSP00000340766	ENSP00000329528	0.000	0.000	0.000	0.000	0.000	0.358	0.000	0.000	0.358
RAD50	MSH6	979585	977074	ENSP00000265335	ENSP00000234420	0.000	0.000	0.000	0.000	0.000	0.333	0.000	0.000	0.333
RAD54L	CHEK1	990469	980540	ENSP00000361043	ENSP00000278916	0.000	0.000	0.000	0.000	0.000	0.200	0.000	0.000	0.200
RFC5	RAD52	996982	988506	ENSP00000408295	ENSP00000351284	0.000	0.000	0.000	0.000	0.000	0.160	0.000	0.000	0.160
MSH3	NTHL1	979536	976340	ENSP00000265081	ENSP00000219066	0.000	0.000	0.000	0.000	0.000	0.228	0.000	0.000	0.228
POLD4	POLD3	983647	979230	ENSP00000311368	ENSP00000263681	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
BCL2	CYCS	985632	983193	ENSP00000329623	ENSP00000307786	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
TNFRSF10B	TNFSF10	980417	977287	ENSP00000276431	ENSP00000241261	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.000	0.999
PIK3R3	PIK3R2	979026	976536	ENSP00000262741	ENSP00000222254	0.000	0.000	0.000	0.958	0.000	0.000	0.900	0.000	0.899
RFC4	CDC6	981740	976059	ENSP00000296273	ENSP00000209728	0.000	0.000	0.000	0.000	0.000	0.206	0.900	0.000	0.915
ERCC2	RAD54L	993226	990469	ENSP00000375809	ENSP00000361043	0.000	0.000	0.000	0.000	0.000	0.226	0.000	0.000	0.226
FEN1	POLD1	982899	978920	ENSP00000305480	ENSP00000262266	0.000	0.000	0.000	0.000	0.000	0.578	0.900	0.000	0.954
PIK3CG	PIK3R1	988630	980292	ENSP00000352121	ENSP00000274335	0.000	0.000	0.000	0.000	0.000	0.388	0.900	0.000	0.934
RAD54L	LIG4	990469	988208	ENSP00000361043	ENSP00000349393	0.000	0.000	0.000	0.000	0.000	0.226	0.000	0.000	0.226
MRE11A	ERCC4	985197	983532	ENSP00000325863	ENSP00000310520	0.000	0.000	0.000	0.000	0.000	0.630	0.000	0.000	0.629
XAB2	ERCC1	988481	975751	ENSP00000351137	ENSP00000013807	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
NGF	CASP6	989928	979557	ENSP00000358525	ENSP00000265164	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
ORC1L	RAD51	990384	979855	ENSP00000360621	ENSP00000267868	0.000	0.000	0.000	0.000	0.000	0.190	0.000	0.000	0.190
FEN1	PMS2	982899	979682	ENSP00000305480	ENSP00000265849	0.000	0.000	0.000	0.000	0.000	0.290	0.000	0.000	0.290
MLH3	MSH4	987993	979126	ENSP00000348020	ENSP00000263187	0.000	0.000	0.000	0.000	0.000	0.621	0.900	0.000	0.959
CASP8	CASP9	988504	985709	ENSP00000351273	ENSP00000330237	0.000	0.000	0.000	0.781	0.000	0.846	0.000	0.000	0.845
ERCC2	ERCC1	993226	975751	ENSP00000375809	ENSP00000013807	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
PCNA	PMS2	991950	979682	ENSP00000368438	ENSP00000265849	0.000	0.000	0.000	0.000	0.000	0.398	0.000	0.000	0.398
POLD3	RFC1	979230	978706	ENSP00000263681	ENSP00000261424	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
BRCA2	ATR	992153	987414	ENSP00000369497	ENSP00000343741	0.000	0.000	0.000	0.000	0.000	0.345	0.000	0.000	0.345
MAP3K14	TRADD	987185	987063	ENSP00000342059	ENSP00000341268	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
RAD17	DMC1	992299	976139	ENSP00000370151	ENSP00000216024	0.000	0.000	0.000	0.000	0.000	0.505	0.000	0.000	0.505
POLD1	MSH6	978920	977074	ENSP00000262266	ENSP00000234420	0.000	0.000	0.000	0.000	0.000	0.744	0.000	0.000	0.744
FAS	TRADD	987986	987063	ENSP00000347979	ENSP00000341268	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
MUS81	RAD51	983204	979855	ENSP00000307853	ENSP00000267868	0.000	0.000	0.000	0.000	0.000	0.505	0.000	0.000	0.505
POLD4	APEX1	983647	976233	ENSP00000311368	ENSP00000216714	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
PCNA	XRCC6	991950	988652	ENSP00000368438	ENSP00000352257	0.000	0.000	0.000	0.000	0.000	0.939	0.000	0.000	0.938
FAS	MBD4	987986	977709	ENSP00000347979	ENSP00000249910	0.000	0.000	0.000	0.000	0.000	0.204	0.000	0.000	0.204
ATR	ATM	987414	980514	ENSP00000343741	ENSP00000278616	0.000	0.000	0.000	0.584	0.000	0.826	0.000	0.000	0.825
TNFRSF10B	TP53	980417	979979	ENSP00000276431	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
ERCC4	UNG	983532	977329	ENSP00000310520	ENSP00000242576	0.000	0.000	0.000	0.000	0.000	0.580	0.000	0.000	0.579
CHEK2	TP53	992579	979979	ENSP00000372023	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.995	0.900	0.000	0.999
PPP3CB	CETN2	993447	990090	ENSP00000378306	ENSP00000359300	0.000	0.000	0.000	0.000	0.000	0.234	0.000	0.000	0.234
RAD1	MUS81	987003	983204	ENSP00000340879	ENSP00000307853	0.000	0.000	0.000	0.000	0.000	0.232	0.000	0.000	0.232
ERCC4	GTF2H1	983532	979693	ENSP00000310520	ENSP00000265963	0.000	0.000	0.000	0.000	0.000	0.620	0.900	0.000	0.959
XRCC6	XRCC5	988652	985622	ENSP00000352257	ENSP00000329528	0.000	0.000	0.000	0.499	0.000	0.999	0.900	0.000	0.999
DCLRE1C	RAD51	991797	979855	ENSP00000367527	ENSP00000267868	0.000	0.000	0.000	0.000	0.000	0.166	0.000	0.000	0.165
PRKACB	CAPN2	990206	981537	ENSP00000359719	ENSP00000295006	0.000	0.000	0.000	0.000	0.000	0.231	0.000	0.000	0.230
BRCA1	ATR	988359	987414	ENSP00000350283	ENSP00000343741	0.000	0.000	0.000	0.000	0.000	0.988	0.000	0.000	0.988
AKT2	CHEK1	993239	980540	ENSP00000375892	ENSP00000278916	0.000	0.000	0.000	0.663	0.000	0.571	0.000	0.000	0.571
CASP8	CASP10	988504	980968	ENSP00000351273	ENSP00000286186	0.000	0.000	0.000	0.873	0.000	0.998	0.900	0.000	0.999
RAD54B	DMC1	986466	976139	ENSP00000336606	ENSP00000216024	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
PIK3CG	IL3RA	988630	985410	ENSP00000352121	ENSP00000327890	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
PCNA	MSH6	991950	977074	ENSP00000368438	ENSP00000234420	0.000	0.000	0.000	0.000	0.000	0.995	0.000	0.000	0.994
RAD17	TOPBP1	992299	978617	ENSP00000370151	ENSP00000260810	0.000	0.000	0.000	0.000	0.000	0.576	0.900	0.000	0.954
TP53	XRCC1	979979	979056	ENSP00000269305	ENSP00000262887	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.619
CASP9	BCL2	985709	985632	ENSP00000330237	ENSP00000329623	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
XPA	MSH3	991140	979536	ENSP00000364270	ENSP00000265081	0.000	0.000	0.000	0.000	0.000	0.619	0.000	0.000	0.619
XPA	POLD1	991140	978920	ENSP00000364270	ENSP00000262266	0.000	0.000	0.000	0.000	0.000	0.388	0.000	0.000	0.388
MSH4	ERCC1	979126	975751	ENSP00000263187	ENSP00000013807	0.000	0.000	0.000	0.000	0.000	0.236	0.000	0.000	0.235
CASP3	AKT3	983604	979261	ENSP00000311032	ENSP00000263826	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
CHUK	FADD	990127	982467	ENSP00000359424	ENSP00000301838	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
TNFRSF10D	TNFRSF10B	983501	980417	ENSP00000310263	ENSP00000276431	0.000	0.000	0.000	0.919	0.000	0.621	0.000	0.000	0.621
PCNA	APEX1	991950	976233	ENSP00000368438	ENSP00000216714	0.000	0.000	0.000	0.000	0.000	0.846	0.000	0.000	0.845
XPA	OGG1	991140	983033	ENSP00000364270	ENSP00000306561	0.000	0.000	0.000	0.000	0.000	0.387	0.000	0.000	0.386
PIK3R1	IL1B	980292	979165	ENSP00000274335	ENSP00000263341	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
ATR	XPC	987414	980908	ENSP00000343741	ENSP00000285021	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.619
ERCC4	CHEK1	983532	980540	ENSP00000310520	ENSP00000278916	0.000	0.000	0.000	0.000	0.000	0.508	0.000	0.000	0.508
XPA	XAB2	991140	988481	ENSP00000364270	ENSP00000351137	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.619
RFC1	MSH6	978706	977074	ENSP00000261424	ENSP00000234420	0.000	0.000	0.000	0.000	0.000	0.333	0.000	0.000	0.333
PRKDC	ATM	983877	980514	ENSP00000313420	ENSP00000278616	0.000	0.000	0.000	0.429	0.000	0.826	0.000	0.000	0.825
RAD17	PIK3CB	992299	981143	ENSP00000370151	ENSP00000289153	0.000	0.000	0.000	0.000	0.000	0.357	0.000	0.000	0.357
RAD1	RAD51	987003	979855	ENSP00000340879	ENSP00000267868	0.000	0.000	0.000	0.000	0.000	0.505	0.000	0.000	0.505
MAP3K14	IRAK2	987185	978202	ENSP00000342059	ENSP00000256458	0.000	0.000	0.000	0.500	0.000	0.000	0.800	0.000	0.800
RAD54B	POLD1	986466	978920	ENSP00000336606	ENSP00000262266	0.000	0.000	0.000	0.000	0.000	0.236	0.000	0.000	0.235
PCNA	CDC6	991950	976059	ENSP00000368438	ENSP00000209728	0.000	0.000	0.000	0.000	0.000	0.619	0.900	0.000	0.959
CETN2	POLD1	990090	978920	ENSP00000359300	ENSP00000262266	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
CSF2RB	AKT1	994280	980037	ENSP00000384053	ENSP00000270202	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.619
CAPN1	TP53	980567	979979	ENSP00000279247	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
APEX2	NTHL1	991110	976340	ENSP00000364126	ENSP00000219066	0.000	0.000	0.000	0.000	0.000	0.640	0.000	0.000	0.639
POLE	EXO1	984840	983715	ENSP00000322570	ENSP00000311873	0.000	0.000	0.000	0.000	0.000	0.580	0.000	0.000	0.579
CCNH	RPA3	978238	976606	ENSP00000256897	ENSP00000223129	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
PCNA	POLD3	991950	979230	ENSP00000368438	ENSP00000263681	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.000	0.999
CYCS	PPP3R1	983193	977067	ENSP00000307786	ENSP00000234310	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
MLH3	RAD51	987993	979855	ENSP00000348020	ENSP00000267868	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
MSH6	MSH2	977074	977012	ENSP00000234420	ENSP00000233146	0.000	0.000	0.000	0.737	0.000	0.999	0.720	0.000	0.999
ERCC2	ERCC4	993226	983532	ENSP00000375809	ENSP00000310520	0.000	0.000	0.000	0.000	0.000	0.084	0.900	0.000	0.902
ATR	MRE11A	987414	985197	ENSP00000343741	ENSP00000325863	0.000	0.000	0.000	0.000	0.000	0.571	0.000	0.000	0.571
PARP1	CASP3	989329	983604	ENSP00000355759	ENSP00000311032	0.000	0.000	0.000	0.000	0.000	0.845	0.900	0.000	0.983
ERCC4	FEN1	983532	982899	ENSP00000310520	ENSP00000305480	0.000	0.000	0.000	0.000	0.000	0.582	0.000	0.000	0.581
RAD52	SMG7	988506	986988	ENSP00000351284	ENSP00000340766	0.000	0.000	0.000	0.000	0.000	0.357	0.000	0.000	0.357
IKBKB	IRAK2	986774	978202	ENSP00000339151	ENSP00000256458	0.000	0.000	0.000	0.515	0.000	0.000	0.900	0.000	0.899
TP53	TNFRSF10A	979979	976441	ENSP00000269305	ENSP00000221132	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
RAD17	RFC4	992299	981740	ENSP00000370151	ENSP00000296273	0.000	0.000	0.000	0.555	0.000	0.974	0.900	0.000	0.997
PIK3CA	TNFRSF1A	979288	975867	ENSP00000263967	ENSP00000162749	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
IKBKG	MAP3K14	989953	987185	ENSP00000358622	ENSP00000342059	0.000	0.000	0.000	0.000	0.000	0.645	0.800	0.000	0.924
ERCC2	XAB2	993226	988481	ENSP00000375809	ENSP00000351137	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
CHEK2	BRCA2	992579	992153	ENSP00000372023	ENSP00000369497	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
DCLRE1C	MRE11A	991797	985197	ENSP00000367527	ENSP00000325863	0.000	0.000	0.000	0.000	0.000	0.620	0.900	0.000	0.959
IL1B	NFKB2	979165	975943	ENSP00000263341	ENSP00000189444	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
DCLRE1C	NBN	991797	979610	ENSP00000367527	ENSP00000265433	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.619
ATR	ERCC4	987414	983532	ENSP00000343741	ENSP00000310520	0.000	0.000	0.000	0.000	0.000	0.290	0.000	0.000	0.290
LIG4	PNKP	988208	984941	ENSP00000349393	ENSP00000323511	0.000	0.000	0.000	0.000	0.000	0.383	0.900	0.000	0.934
TRADD	NFKB1	987063	976749	ENSP00000341268	ENSP00000226574	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
RAD23B	GTF2H3	988422	976839	ENSP00000350708	ENSP00000228955	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
TNF	CHUK	995272	990127	ENSP00000392858	ENSP00000359424	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
CETN2	SHFM1	990090	977636	ENSP00000359300	ENSP00000248566	0.000	0.000	0.000	0.000	0.000	0.266	0.000	0.000	0.266
XPC	MLH1	980908	976973	ENSP00000285021	ENSP00000231790	0.000	0.000	0.000	0.000	0.000	0.232	0.000	0.000	0.232
RFC3	PARP1	992135	989329	ENSP00000369411	ENSP00000355759	0.000	0.000	0.000	0.000	0.000	0.387	0.000	0.000	0.386
RIPK1	NFKBIA	978509	976240	ENSP00000259808	ENSP00000216797	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
CSF2RB	PIK3R2	994280	976536	ENSP00000384053	ENSP00000222254	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
MAP3K14	TRAF2	987185	977592	ENSP00000342059	ENSP00000247668	0.000	0.000	0.000	0.000	0.000	0.974	0.800	0.000	0.994
CASP3	TNFRSF1A	983604	975867	ENSP00000311032	ENSP00000162749	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
RAD54L	RAD51	990469	979855	ENSP00000361043	ENSP00000267868	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
PCNA	LIG1	991950	979151	ENSP00000368438	ENSP00000263274	0.000	0.000	0.000	0.000	0.000	0.975	0.000	0.000	0.974
CETN2	PPP3CC	990090	977245	ENSP00000359300	ENSP00000240139	0.000	0.000	0.000	0.000	0.000	0.234	0.000	0.000	0.234
RAD54L	RAD52	990469	988506	ENSP00000361043	ENSP00000351284	0.000	0.000	0.000	0.000	0.000	0.388	0.000	0.000	0.388
DDB1	CHEK1	982456	980540	ENSP00000301764	ENSP00000278916	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
RFC5	TOPBP1	996982	978617	ENSP00000408295	ENSP00000260810	0.000	0.000	0.000	0.000	0.000	0.227	0.900	0.000	0.917
BIRC3	TNFRSF1A	979190	975867	ENSP00000263464	ENSP00000162749	0.000	0.000	0.000	0.000	0.000	0.845	0.900	0.000	0.983
PIK3CG	NTRK1	988630	988539	ENSP00000352121	ENSP00000351486	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
PMS2	NTHL1	979682	976340	ENSP00000265849	ENSP00000219066	0.000	0.000	0.000	0.000	0.000	0.203	0.000	0.000	0.202
HMGB1	ERCC1	987319	975751	ENSP00000343040	ENSP00000013807	0.000	0.000	0.000	0.000	0.000	0.160	0.000	0.000	0.160
TDG	TP53	993296	979979	ENSP00000376611	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
CASP8	BID	988504	984404	ENSP00000351273	ENSP00000318822	0.000	0.000	0.000	0.000	0.000	0.924	0.900	0.000	0.991
APEX2	UNG	991110	977329	ENSP00000364126	ENSP00000242576	0.000	0.000	0.000	0.000	0.000	0.580	0.000	0.000	0.579
PIK3CD	AKT3	991590	979261	ENSP00000366563	ENSP00000263826	0.000	0.000	0.000	0.000	0.000	0.237	0.800	0.000	0.837
APAF1	CASP3	988791	983604	ENSP00000353059	ENSP00000311032	0.000	0.000	0.000	0.000	0.000	0.846	0.900	0.000	0.983
RAD52	ERCC4	988506	983532	ENSP00000351284	ENSP00000310520	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
DDB2	RPA1	978247	978067	ENSP00000256996	ENSP00000254719	0.000	0.000	0.000	0.000	0.000	0.296	0.000	0.000	0.296
PMS2	MSH6	979682	977074	ENSP00000265849	ENSP00000234420	0.000	0.000	0.000	0.000	0.000	0.678	0.540	0.000	0.841
XRCC6	RFC4	988652	981740	ENSP00000352257	ENSP00000296273	0.000	0.000	0.000	0.000	0.000	0.580	0.000	0.000	0.579
CHEK2	NBN	992579	979610	ENSP00000372023	ENSP00000265433	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
IKBKG	CASP10	989953	980968	ENSP00000358622	ENSP00000286186	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
ERCC5	ATR	987985	987414	ENSP00000347978	ENSP00000343741	0.000	0.000	0.000	0.000	0.000	0.385	0.000	0.000	0.385
CETN2	XPC	990090	980908	ENSP00000359300	ENSP00000285021	0.000	0.000	0.000	0.000	0.000	0.937	0.900	0.000	0.993
TNFRSF10B	TNFRSF10A	980417	976441	ENSP00000276431	ENSP00000221132	0.000	0.000	0.000	0.925	0.000	0.839	0.000	0.000	0.839
RAD17	POLE	992299	984840	ENSP00000370151	ENSP00000322570	0.000	0.000	0.000	0.000	0.000	0.619	0.000	0.000	0.619
AKT2	CASP9	993239	985709	ENSP00000375892	ENSP00000330237	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
MLH3	NTHL1	987993	976340	ENSP00000348020	ENSP00000219066	0.000	0.000	0.000	0.000	0.000	0.203	0.000	0.000	0.202
BAD	BCL2L1	983354	982553	ENSP00000309103	ENSP00000302564	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.000	0.999
RFC5	PARP2	996982	977736	ENSP00000408295	ENSP00000250416	0.000	0.000	0.000	0.000	0.000	0.388	0.000	0.000	0.388
PRKDC	RAD50	983877	979585	ENSP00000313420	ENSP00000265335	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.000	0.800
ERCC2	GTF2H1	993226	979693	ENSP00000375809	ENSP00000265963	0.000	0.000	0.000	0.000	0.000	0.937	0.900	0.000	0.993
APAF1	BCL2L1	988791	982553	ENSP00000353059	ENSP00000302564	0.000	0.000	0.000	0.000	0.000	0.937	0.000	0.000	0.937
POLD3	RPA3	979230	976606	ENSP00000263681	ENSP00000223129	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
APAF1	TP53	988791	979979	ENSP00000353059	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
RAD1	FEN1	987003	982899	ENSP00000340879	ENSP00000305480	0.000	0.000	0.000	0.000	0.000	0.619	0.000	0.000	0.619
BRCA1	MLH1	988359	976973	ENSP00000350283	ENSP00000231790	0.000	0.000	0.000	0.000	0.000	0.771	0.000	0.000	0.770
XPC	MNAT1	980908	978667	ENSP00000285021	ENSP00000261245	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
CETN2	ERCC4	990090	983532	ENSP00000359300	ENSP00000310520	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
XRCC1	MPG	979056	976373	ENSP00000262887	ENSP00000219431	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.619
CHEK2	XRCC1	992579	979056	ENSP00000372023	ENSP00000262887	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.619
TRADD	TNFRSF1A	987063	975867	ENSP00000341268	ENSP00000162749	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.000	0.999
NFKB1	NFKB2	976749	975943	ENSP00000226574	ENSP00000189444	0.000	0.000	0.000	0.909	0.000	0.666	0.900	0.000	0.964
RAD23A	TP53	984699	979979	ENSP00000321365	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.619	0.000	0.000	0.619
IKBKG	TNFRSF1A	989953	975867	ENSP00000358622	ENSP00000162749	0.000	0.000	0.000	0.000	0.000	0.620	0.900	0.000	0.959
