node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
RAD23B	ERCC4	988422	983532	ENSP00000350708	ENSP00000310520	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
FEN1	RFC1	982899	978706	ENSP00000305480	ENSP00000261424	0.000	0.000	0.000	0.000	0.000	0.387	0.000	0.000	0.386
MYD88	IRAK2	993574	978202	ENSP00000379625	ENSP00000256458	0.000	0.000	0.000	0.000	0.000	0.998	0.900	0.000	0.999
RFC3	RAD52	992135	988506	ENSP00000369411	ENSP00000351284	0.000	0.000	0.000	0.000	0.000	0.231	0.000	0.000	0.230
AKT3	PIK3R3	979261	979026	ENSP00000263826	ENSP00000262741	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
ERCC2	TP53	993226	979979	ENSP00000375809	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
PPP3CA	MAP3K14	993449	987185	ENSP00000378323	ENSP00000342059	0.000	0.000	0.000	0.000	0.000	0.224	0.000	0.000	0.224
RAD52	MSH4	988506	979126	ENSP00000351284	ENSP00000263187	0.000	0.000	0.000	0.000	0.000	0.164	0.000	0.000	0.163
PMS2	MLH1	979682	976973	ENSP00000265849	ENSP00000231790	0.000	0.000	0.000	0.696	0.000	0.999	0.540	0.000	0.999
MRE11A	CDC6	985197	976059	ENSP00000325863	ENSP00000209728	0.000	0.000	0.000	0.000	0.000	0.227	0.000	0.000	0.227
AKT2	CASP3	993239	983604	ENSP00000375892	ENSP00000311032	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
NTHL1	DMC1	976340	976139	ENSP00000219066	ENSP00000216024	0.000	0.000	0.000	0.000	0.000	0.229	0.000	0.000	0.229
BRCA1	TOPBP1	988359	978617	ENSP00000350283	ENSP00000260810	0.000	0.000	0.000	0.000	0.000	0.841	0.900	0.000	0.983
CASP8	MAP3K14	988504	987185	ENSP00000351273	ENSP00000342059	0.000	0.000	0.000	0.000	0.000	0.845	0.000	0.000	0.845
TNFRSF10C	FADD	983591	982467	ENSP00000310908	ENSP00000301838	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
ERCC4	CCNH	983532	978238	ENSP00000310520	ENSP00000256897	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
ATR	DMC1	987414	976139	ENSP00000343741	ENSP00000216024	0.000	0.000	0.000	0.000	0.000	0.291	0.000	0.000	0.291
XRCC5	CHEK1	985622	980540	ENSP00000329528	ENSP00000278916	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.619
CASP8	CASP7	988504	982057	ENSP00000351273	ENSP00000298700	0.000	0.000	0.000	0.846	0.000	0.937	0.900	0.000	0.993
CHEK1	AKT1	980540	980037	ENSP00000278916	ENSP00000270202	0.000	0.000	0.000	0.648	0.000	0.826	0.000	0.000	0.825
XPA	UNG	991140	977329	ENSP00000364270	ENSP00000242576	0.000	0.000	0.000	0.000	0.000	0.492	0.000	0.000	0.491
RAD1	LIG1	987003	979151	ENSP00000340879	ENSP00000263274	0.000	0.000	0.000	0.000	0.000	0.387	0.000	0.000	0.386
BID	CASP3	984404	983604	ENSP00000318822	ENSP00000311032	0.000	0.000	0.000	0.000	0.000	0.937	0.000	0.000	0.937
RAD23B	GTF2H4	988422	978518	ENSP00000350708	ENSP00000259895	0.000	0.000	0.000	0.000	0.000	0.161	0.000	0.000	0.160
CHUK	IRAK2	990127	978202	ENSP00000359424	ENSP00000256458	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
CAPN1	NFKBIA	980567	976240	ENSP00000279247	ENSP00000216797	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
RAD52	LIG1	988506	979151	ENSP00000351284	ENSP00000263274	0.000	0.000	0.000	0.000	0.000	0.355	0.000	0.000	0.355
